"Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","TTL","AVG"
"Dak Prescott","QB","DAL","62","67","80","56","76","51","bye","62","47","0","0","0","0","0","0","0","0","0","501","62.6"
"AJ Barner","TE","SEA","32","25","18","35","15","24","24","19","73","bye","51","54","26","24","17","19","14","31","501","29.5"
"Mac Jones","QB","JAC","0","0","14","0","0","3","0","0","0","44","48","bye","51","59","84","67","58","69","497","49.7"
"Travis Etienne Jr.","RB","JAC","37","43","49","30","22","11","0","0","17","30","36","bye","37","28","61","35","28","30","494","32.9"
"Olamide Zaccheaus","WR","WAS","26","24","5","18","34","23","29","26","24","16","28","24","29","bye","38","47","63","40","494","29.1"
"Xavier Hutchinson","WR","HOU","12","9","12","13","48","33","41","44","59","57","28","8","0","bye","8","34","39","48","493","30.8"
"Puka Nacua","WR","LAR","25","0","0","0","0","bye","0","41","27","55","39","51","44","59","50","42","54","0","487","44.3"
"James Cook","RB","BUF","38","21","32","33","36","0","29","42","36","41","27","bye","26","27","29","21","32","15","485","30.3"
"Marquez Valdes-Scantling","WR","Multi","13","4","49","25","28","22","0","0","32","29","39","0","53","48","43","0","47","46","478","34.1"
"Kareem Hunt","RB","KC","0","0","0","28","53","bye","45","42","49","44","38","41","27","20","28","32","30","0","477","36.7"
"Mo Alie-Cox","TE","IND","18","18","31","31","29","34","33","27","26","27","28","23","36","bye","23","30","31","30","475","27.9"
"Dyami Brown","WR","WAS","33","50","13","18","37","19","21","24","26","10","25","24","43","bye","61","45","0","25","474","29.6"
"Mason Rudolph","QB","TEN","0","0","0","54","bye","0","73","76","77","0","0","0","0","0","37","61","69","26","473","59.1"
"Dalton Kincaid","TE","BUF","52","19","34","37","38","55","40","41","52","18","0","bye","0","0","34","20","31","0","471","36.2"
"Brandin Cooks","WR","DAL","50","57","64","46","0","0","bye","0","0","0","0","0","30","36","46","46","42","54","471","47.1"
