"Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","TTL","AVG"
"James Conner","RB","ARI","4","1","1","1","3","5","4","3","3","5","bye","5","4","4","5","4","3","-","55","3.4"
"Cole Kmet","TE","CHI","1","5","11","3","4","5","bye","1","0","4","3","10","3","0","1","2","0","2","55","3.2"
"Adonai Mitchell","WR","IND","5","4","1","3","7","4","3","4","1","6","2","3","2","bye","4","1","4","1","55","3.2"
"Devaughn Vele","WR","DEN","8","-","-","-","-","6","3","3","3","4","5","9","4","bye","1","3","2","4","55","4.2"
"Chuba Hubbard","RB","CAR","0","5","5","4","4","6","0","2","3","6","bye","5","0","5","4","5","-","-","54","3.6"
"Brandin Cooks","WR","DAL","7","2","6","4","-","-","bye","-","-","-","-","-","7","3","5","3","8","9","54","5.4"
"Brenton Strange","TE","JAC","0","6","5","3","4","2","0","5","0","3","1","bye","2","1","12","4","1","4","53","3.1"
"Christian Watson","WR","GB","5","0","2","1","-","4","2","6","7","bye","4","3","4","7","6","1","-","1","53","3.5"
"Tyrone Tracy Jr.","RB","NYG","3","0","2","1","2","6","3","3","1","2","bye","4","3","10","4","4","3","2","53","3.1"
"Kenneth Walker III","RB","SEA","3","-","-","5","8","8","2","5","3","bye","2","6","3","-","-","8","-","-","53","4.8"
"Troy Franklin","WR","DEN","-","1","5","4","2","3","6","2","4","3","2","4","5","bye","5","3","2","2","53","3.3"
"Dallas Goedert","TE","PHI","5","4","11","8","bye","1","-","-","-","3","5","5","4","-","-","-","-","6","52","5.2"
"D'Andre Swift","RB","CHI","1","5","4","7","2","4","bye","0","6","1","2","4","3","2","1","3","5","2","52","3.1"
"Joe Mixon","RB","HOU","3","5","-","-","-","3","3","6","0","4","4","6","6","bye","6","2","3","1","52","3.7"
"Travis Etienne Jr.","RB","JAC","3","4","6","2","7","1","-","-","3","1","3","bye","3","4","5","3","2","5","52","3.5"
"Zach Charbonnet","RB","SEA","3","5","4","5","5","1","1","4","3","bye","2","0","3","7","4","2","3","0","52","3.1"
"Marvin Mims Jr.","WR","DEN","1","2","1","0","1","3","3","2","2","4","2","5","4","bye","4","5","8","5","52","3.1"
"Bucky Irving","RB","TB","3","0","3","2","2","2","3","7","3","3","bye","6","3","1","2","3","4","5","52","3.1"
"KaVontae Turpin","WR","DAL","1","4","3","0","5","7","bye","4","4","0","3","1","5","4","1","1","4","5","52","3.1"
"Justice Hill","RB","BAL","8","2","2","6","2","1","3","1","3","2","7","2","6","bye","5","1","-","-","51","3.4"
"Parker Washington","WR","JAC","1","1","3","0","0","0","0","4","6","0","3","bye","12","2","6","6","3","4","51","3.0"
"Sterling Shepard","WR","TB","-","-","0","5","2","4","1","5","5","3","bye","7","7","6","1","3","-","2","51","3.6"
"Mack Hollins","WR","BUF","2","1","2","6","6","2","1","0","5","4","2","bye","1","6","3","3","2","4","50","2.9"
"Greg Dortch","WR","ARI","8","2","6","4","2","5","2","2","1","1","bye","2","3","1","3","1","3","4","50","2.9"
"Noah Gray","TE","KC","3","0","2","4","2","bye","4","3","1","2","5","4","6","5","5","1","1","1","49","2.9"
"Cedric Tillman","WR","CLE","1","2","2","0","0","0","12","9","11","bye","8","4","-","-","-","-","-","-","49","4.5"
"Rico Dowdle","RB","DAL","1","5","5","1","2","6","bye","-","6","3","5","3","3","2","0","3","1","3","49","3.1"
"Colby Parkinson","TE","LAR","5","2","5","7","13","bye","2","2","0","0","1","2","1","1","5","1","1","1","49","2.9"
"Najee Harris","RB","PIT","2","2","5","6","2","2","1","4","bye","0","5","2","6","0","1","1","4","5","48","2.8"
"Alexander Mattison","RB","LV","6","0","3","1","3","5","3","5","0","bye","3","-","-","-","4","7","3","5","48","3.4"
"Jaylen Warren","RB","PIT","2","2","1","-","-","3","3","3","bye","2","4","4","4","5","2","5","6","1","47","3.1"
"Christian Kirk","WR","JAC","4","3","10","12","4","6","3","5","-","-","-","bye","-","-","-","-","-","-","47","5.9"
"Ameer Abdullah","RB","LV","0","2","2","0","3","5","-","2","3","bye","3","6","2","2","7","6","4","-","47","3.1"
"Brandon Aiyuk","WR","SF","5","5","10","5","12","4","6","-","bye","-","-","-","-","-","-","-","-","-","47","6.7"
"Curtis Samuel","WR","BUF","2","2","3","2","4","4","1","-","1","8","6","bye","0","3","2","-","-","8","46","3.3"
"Jalen Coker","WR","CAR","-","-","-","1","4","3","1","6","3","8","bye","-","-","-","6","5","2","7","46","4.2"
"Ricky Pearsall","WR","SF","-","-","-","-","-","-","5","4","bye","6","2","0","1","2","4","4","10","8","46","4.2"
"Lil'Jordan Humphrey","WR","DEN","1","5","8","1","2","1","3","6","5","3","4","3","-","bye","1","-","-","2","45","3.2"
"Marquez Valdes-Scantling","WR","NO","2","1","2","1","3","-","-","-","1","3","4","bye","3","7","7","-","2","8","44","3.4"
"Chris Olave","WR","NO","2","6","6","10","4","1","-","14","1","-","-","bye","-","-","-","-","-","-","44","5.5"
"Tim Patrick","WR","DET","-","4","1","2","bye","3","2","1","2","0","4","4","3","7","8","1","0","2","44","2.8"
"Saquon Barkley","RB","PHI","2","5","4","4","bye","2","3","1","4","1","3","4","4","1","2","1","2","-","43","2.7"
"Josh Jacobs","RB","GB","3","0","1","6","1","3","5","2","3","bye","5","1","4","0","4","4","0","1","43","2.5"
