"Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","TTL","AVG"
"Brian Burns","DE","NYG","48","64","54","47","47","45","43","57","53","56","bye","60","61","54","37","44","60","36","866","50.9"
"Stephon Gilmore","CB","MIN","62","68","45","62","69","bye","47","67","50","44","54","75","35","0","0","61","63","62","864","57.6"
"Will Harris","S","NO","59","70","72","56","28","0","0","0","0","78","73","bye","56","78","78","69","77","67","861","66.2"
"Osa Odighizuwa","DE","DAL","61","40","53","53","42","40","bye","54","42","47","57","64","57","61","43","55","49","42","860","50.6"
"Nakobe Dean","LB","PHI","64","60","55","75","bye","55","49","51","53","44","63","52","69","69","40","59","0","0","858","57.2"
"Adam Butler","DT","LV","53","53","43","50","54","56","36","56","50","bye","51","60","60","49","40","54","46","47","858","50.5"
"Eric Murray","CB","HOU","25","52","21","58","49","55","58","64","58","51","38","58","51","bye","68","73","52","25","856","50.4"
"Montaric Brown","CB","JAC","19","69","64","74","70","65","31","45","18","48","40","bye","44","46","58","73","69","22","855","50.3"
"Tyrel Dodson","LB","Multi","69","68","55","53","72","65","69","76","77","0","0","48","54","6","0","0","79","64","855","61.1"
"Jevon Holland","S","MIA","53","41","64","61","44","bye","0","17","0","69","65","69","54","68","50","64","71","64","854","56.9"
"Amani Hooker","S","TEN","56","57","55","60","bye","70","55","48","69","59","73","0","81","58","69","40","0","0","850","60.7"
"Byron Young","DE","LAR","49","42","54","49","47","bye","67","39","65","43","59","63","50","52","41","49","64","11","844","49.6"
"Benjamin St-Juste","CB","WAS","64","56","62","59","58","65","35","62","64","74","51","38","47","bye","3","10","15","74","837","49.2"
"Riley Moss","CB","DEN","67","61","56","71","69","77","58","61","57","68","54","27","0","bye","0","0","80","29","835","59.6"
"Jared Verse","DE","LAR","43","48","47","41","41","bye","62","42","69","45","64","57","55","45","44","55","65","11","834","49.1"
"Kobie Turner","DT","LAR","56","55","57","50","48","bye","62","41","59","42","59","52","53","45","38","50","56","11","834","49.1"
"George Karlaftis III","DE","KC","64","55","49","51","46","bye","56","52","34","44","63","52","59","51","54","51","50","0","831","51.9"
"Jalen Carter","DT","PHI","51","46","50","52","bye","43","46","45","52","43","66","54","71","64","39","65","44","0","831","51.9"
"Anfernee Jennings","LB","NE","28","44","42","0","54","48","50","60","76","56","52","59","49","bye","51","39","59","64","831","51.9"
"Rasul Douglas","CB","BUF","61","70","57","53","68","63","70","48","61","59","55","bye","48","61","0","0","40","16","830","55.3"
"Henry To'oTo'o","LB","HOU","40","51","55","57","61","55","0","0","58","64","26","63","68","bye","68","72","52","40","830","55.3"
"Keion White","DE","NE","41","58","61","53","57","49","42","42","65","54","42","42","46","bye","56","38","40","43","829","48.8"
"Martin Emerson Jr.","CB","CLE","57","58","68","44","57","45","48","53","48","bye","43","55","56","47","12","48","57","33","829","48.8"
"Christian Rozeboom","LB","LAR","45","52","55","37","42","bye","40","47","78","33","49","55","63","48","47","66","71","0","828","51.8"
"Carl Granderson","DE","NO","40","54","56","46","61","58","47","50","42","52","53","bye","35","57","53","36","43","43","826","48.6"
"Myles Garrett","DE","CLE","48","41","42","44","52","49","44","55","44","bye","45","53","47","49","60","45","52","56","826","48.6"
"Trey Hendrickson","DE","CIN","49","47","38","36","47","47","59","38","45","54","57","bye","50","49","58","52","49","50","825","48.5"
"DeShon Elliott","S","PIT","47","47","44","56","65","63","57","54","bye","45","46","53","56","63","0","0","58","69","823","54.9"
"Reed Blankenship","S","PHI","67","61","56","36","bye","57","49","55","54","52","66","57","51","0","43","68","49","0","821","54.7"
"Josh Hines-Allen","DE","JAC","58","53","45","39","52","47","51","60","56","62","43","bye","55","51","47","49","53","0","821","51.3"
"Starling Thomas V","CB","ARI","51","35","55","56","33","47","66","65","68","41","bye","42","41","36","37","52","31","64","820","48.2"
"Jonathon Cooper","DE","DEN","47","55","37","59","53","62","45","33","37","48","37","55","64","bye","55","45","69","19","820","48.2"
"Noah Igbinoghene","CB","WAS","28","33","52","28","54","35","21","56","54","51","57","64","53","bye","38","62","64","68","818","48.1"
"Foyesade Oluokun","LB","JAC","60","59","27","0","0","0","0","64","71","84","65","bye","57","64","58","69","69","68","815","62.7"
"Nnamdi Madubuike","DT","BAL","40","41","58","34","47","45","59","59","49","62","60","58","42","bye","41","47","33","37","812","47.8"
"Tyrique Stevenson","CB","CHI","63","62","55","61","60","0","bye","63","46","37","27","25","42","29","59","65","52","65","811","50.7"
"Jeffery Simmons","DT","TEN","46","44","50","0","bye","60","40","37","54","46","62","48","58","50","59","58","55","40","807","50.4"
"Kamari Lassiter","CB","HOU","45","70","62","58","61","0","0","64","58","40","0","67","70","bye","68","73","49","14","799","57.1"
"Drue Tranquill","LB","KC","67","51","54","49","38","bye","50","40","39","50","61","46","51","52","46","50","54","0","798","49.9"
"Josey Jewell","LB","CAR","62","69","44","43","0","0","0","73","79","75","bye","74","80","58","70","70","0","0","797","66.4"
"Chauncey Golston","DT","DAL","29","28","11","25","52","45","bye","58","53","54","61","56","59","61","49","55","55","40","791","46.5"
"Tyler Nubin","S","NYG","55","72","67","56","56","53","66","66","62","60","bye","65","76","36","0","0","0","0","790","60.8"
"Deonte Banks","CB","NYG","55","72","67","54","58","52","66","27","62","54","bye","63","0","0","0","41","73","44","788","56.3"
"Javon Bullard","S","GB","76","42","49","57","57","54","29","49","57","bye","52","41","66","30","0","0","68","59","786","52.4"
"Coby Bryant","CB","SEA","1","0","20","19","1","8","67","76","77","bye","63","58","68","71","64","66","61","66","786","49.1"
"Tarheeb Still","CB","LAC","0","0","0","42","bye","50","54","51","73","49","57","63","72","53","72","61","45","41","783","55.9"
"Garrett Williams","CB","ARI","38","44","42","67","0","54","52","56","62","50","bye","47","37","52","35","42","44","59","781","48.8"
"Donte Jackson","CB","PIT","56","54","41","65","74","50","22","72","bye","45","55","52","59","53","24","0","58","0","780","52.0"
"Cameron Heyward","DT","PIT","35","41","34","48","55","40","40","49","bye","55","39","50","42","44","58","50","50","48","778","45.8"
